 ,Label,lumMean,lumSD,area,vsMean,vsSD,swMean,swSD,mwMean,mwSD,lwMean,lwSD,dblMean,dblSD
906,218_Citrus_Abdomen,7231.69,641.975,10069,3748.238,410.588,4934.905,471.744,8109.009,760.063,6735.761,613.089,7231.69,641.975
907,218_Citrus_AvLeaf,6154.822,762.186,458607,2216.796,314.669,3362.415,449.491,7312.618,856.839,5323.194,764.829,6154.822,762.186
908,219_Citrus_Leaf,5628.999,861.777,1461570,2105.153,381.869,3079.554,554.332,6739.404,954.415,4795.305,852.238,5628.999,861.777
909,219_Citrus_Pronotum,9782.558,1131.955,5704,3972.153,594.59,6002.946,789.567,10971.862,1231.969,9269.759,1147.255,9782.558,1131.955
910,219_Citrus_Dot,7352.985,514.179,636,3387.041,264.679,4551.839,334.939,8206.228,592.462,7113.178,570.848,7352.985,514.179
911,219_Citrus_Abdomen,7320.42,677.488,13768,3789.372,440.17,4993.048,525.021,8319.606,777.588,6590.102,661.043,7320.42,677.488
912,219_Citrus_AvLeaf,5786.563,919.213,372672,2207.399,417.86,3225.767,607.416,6904.536,1012.63,4940.053,908.323,5786.563,919.213
913,220_Citrus_Leaf,5884.117,805.29,1778323,2201.091,342.006,3262.667,477.802,7011.839,901.391,5045.831,807.677,5884.117,805.29
914,220_Citrus_Pronotum,7973.729,715.68,7762,3403.13,441.396,4798.986,552.037,8842.055,787.993,7854.774,760.483,7973.729,715.68
915,220_Citrus_Dot,6259.21,557.297,447,2838.389,334.213,3750.455,392.43,7192.325,682.108,5745.536,476.24,6259.21,557.297
916,220_Citrus_Abdomen,7100.14,908.404,15951,3160.1,433.692,4379.565,589.556,8028.138,955.564,6683.914,1045.216,7100.14,908.404
917,220_Citrus_AvLeaf,6172.319,819.667,315176,2249.609,362.503,3379.812,508.471,7327.411,915.344,5346.421,815.018,6172.319,819.667
918,222_Citrus_Leaf,5955.791,920.08,1601241,2303.289,437.866,3355.027,622.911,7091.601,1017.307,5079.692,895.22,5955.791,920.08
919,222_Citrus_Pronotum,9268.241,841.171,4768,3570.176,503.359,5443.576,635.033,10272.193,926.913,9134.403,855.69,9268.241,841.171
920,222_Citrus_Dot,6191.305,395.334,599,2743.746,266.094,3614.182,292.929,7004.109,513.42,5937.728,365.838,6191.305,395.334
921,222_Citrus_Abdomen,7394.382,901.14,15861,3506.305,707.274,4736.474,814.937,8382.72,970.898,6816.199,875.869,7394.382,901.14
922,222_Citrus_AvLeaf,6157.99,989.611,345135,2371.293,437.807,3479.949,641.109,7312.607,1092.325,5274.961,970.225,6157.99,989.611
923,223_Citrus_Leaf,5478.104,706.476,1569929,2107.369,379.886,3022.88,494.748,6565.917,782.808,4641.537,695.932,5478.104,706.476
924,223_Citrus_Pronotum,8199.526,907.191,6956,3424.326,438.513,4960.873,594.138,9385.912,951.256,7453.14,1022.499,8199.526,907.191
925,223_Citrus_Dot,6700.729,442.793,743,2987.91,312.785,3973.414,328.728,7622.042,490.706,6282.301,500.553,6700.729,442.793
926,223_Citrus_Abdomen,8986.915,856.346,13532,4472.093,667.852,6070.157,738.879,10038.589,918.761,8368.371,867.165,8986.915,856.346
927,223_Citrus_AvLeaf,5628.375,721.173,401262,2115.542,337.293,3077.42,463.417,6734.544,801.068,4794.426,719.242,5628.375,721.173
928,224_Citrus_Leaf,5815.18,829.218,1606044,2207.42,394.463,3213.804,541.564,6933.131,921.424,4979.652,819.201,5815.18,829.218
929,224_Citrus_Pronotum,7873.625,918.559,6027,3727.949,598.462,5152.216,736.796,8967.779,995.187,7109.836,910.481,7873.625,918.559
930,224_Citrus_Dot,7045.93,367.988,432,3219.574,318.898,4471.64,346.758,8034.17,475.469,6446.434,322.389,7045.93,367.988
931,224_Citrus_Abdomen,6434.099,667.001,10923,3539.274,550.409,4462.013,640.019,7380.55,740.818,5663.877,621.704,6434.099,667.001
932,224_Citrus_AvLeaf,6008.424,858.576,478115,2246.837,363.506,3304.816,519.385,7146.764,956.52,5172.012,855.687,6008.424,858.576
933,225_Citrus_Leaf,5746.306,956.618,1621659,2137.751,324.268,3154.417,537.19,6875.898,1072.12,4881.978,940.664,5746.306,956.618
934,225_Citrus_Pronotum,9820.955,971.893,7835,3989.051,760.632,5938.217,902.72,10978.827,1062.079,9383.021,919.882,9820.955,971.893
935,225_Citrus_Dot,6600.134,399.069,530,2640.347,315.266,3687.967,303.78,7519.132,481.39,6274.453,443.553,6600.134,399.069
936,225_Citrus_Abdomen,8498.192,832.33,13908,3897.012,459.438,5500.103,617.808,9642.068,888.84,7743.67,894.108,8498.192,832.33
937,225_Citrus_AvLeaf,6003.545,1092.992,314023,2195.861,338.586,3288.373,596.614,7159.905,1221.371,5133.744,1074.955,6003.545,1092.992
938,226_Citrus_Leaf,5764.688,821.917,1663686,2212.505,437.441,3219.103,590.666,6882.057,910.838,4905.598,790.093,5764.688,821.917
939,226_Citrus_Pronotum,9626.791,1101.427,6029,3922.196,550.204,5838.882,784.536,10702.049,1174.686,9311.779,1147.498,9626.791,1101.427
940,226_Citrus_Dot,9604.759,462.013,320,4701.456,300.92,6429.528,301.25,10746.761,575.521,8897.621,432.531,9604.759,462.013
941,226_Citrus_Abdomen,7840.552,617.199,11916,3589.305,456.27,4985.8,505.629,8938.189,705.598,7119.272,623.171,7840.552,617.199
942,226_Citrus_AvLeaf,6101.861,716.174,407854,2347.444,394.604,3436.745,501.592,7250.335,805.622,5225.688,685.981,6101.861,716.174
943,227_Citrus_Leaf,6235.478,983.491,1452970,2240.894,351.281,3405.115,566.597,7408.077,1105.762,5380.846,962.995,6235.478,983.491
944,227_Citrus_Pronotum,8416.368,1373.769,8750,3696.154,520.593,5307.898,838.216,9404.504,1442.213,8011.371,1503.039,8416.368,1373.769
945,227_Citrus_Dot,5979.682,426.08,527,3109.647,348.614,3912.612,363.759,6815.736,507.707,5462.816,388.688,5979.682,426.08
946,227_Citrus_Abdomen,6404.804,856.541,19421,3554.464,555.576,4455.427,697.733,7259.515,915.568,5795.999,882.507,6404.804,856.541
947,227_Citrus_AvLeaf,6507.269,879.623,374641,2315.092,314.433,3565.747,489.127,7707.038,995.602,5643.721,867.649,6507.269,879.623
948,228_Citrus_Leaf,6304.167,1406.927,3208749,2369.754,487.576,3549.949,800.983,7518.914,1575.579,5339.575,1370.654,6304.167,1406.927
949,228_Citrus_Pronotum,8141.223,1242.635,38103,2979.141,483.544,4252.62,688.916,8378.523,1288.411,9611.202,1497.356,8141.223,1242.635
950,228_Citrus_Dot,2396.55,404.657,11923,2602.735,270.21,2129.504,289.027,2795.809,431.459,2040.259,496.29,2396.55,404.657
951,228_Citrus_Abdomen,10257.745,1376.916,179432,3616.272,553.877,5623.706,812.903,10673.891,1377.259,11675.663,1766.742,10257.745,1376.916
